Index,Pheno
1,100.6214709
2,146.0384122
3,48.53428972
4,91.14062055
5,62.80544019
6,120.7902416
7,72.13284303
8,49.96193346
9,109.3351562
10,99.74339232
11,121.8029373
12,105.1691938
13,66.44997613
14,88.20082085
15,41.66472712
16,104.2358395
17,92.5020351
18,139.4796704
19,75.25073924
20,124.7233791
21,103.4953643
22,60.56758935
23,91.41573749
24,119.6576858
25,120.0378161
26,75.5629496
27,85.50320274
28,71.25240223
29,79.58699795
30,84.02069349
31,91.0178136
32,95.78948509
33,126.0180507
34,90.62849828
35,105.8512499
36,130.2917798
37,88.53758298
38,75.66130101
39,143.408749
40,87.27345191
41,68.04994316
42,98.24667939
43,87.56871729
44,98.62999686
45,96.65626775
46,88.89877396
47,121.6469719
48,83.99515441
49,97.88770669
50,73.83556083
51,87.08719012
52,72.46597784
53,87.83868502
54,97.92357962
55,45.88421902
56,91.9689659
57,68.22211613
58,94.63549014
59,106.672447
60,92.62535763
61,64.62560555
62,78.82435131
63,101.0310974
64,101.3829127
65,134.5424228
66,98.24253931
67,96.62017175
68,76.7767776
69,88.21338937
70,95.79524428
71,115.6916884
72,107.3306555
73,65.88741292
74,89.01466633
75,79.46385455
76,105.4357637
77,124.6278912
78,51.76911618
79,90.70722753
80,99.81108036
81,80.36459418
82,98.12859661
83,83.87325872
84,71.57005458
85,98.04975767
86,96.02262678
87,90.42365299
88,112.6146724
89,110.3152606
90,92.87192347
91,94.24677764
92,92.11774515
93,134.6375372
94,48.72430931
95,117.384627
96,115.835343
97,116.5753279
98,95.18783828
99,69.69071924
100,138.6189901
